classification,postal_code,street_number,street_name,street_type
Non Residential,B2W 5G1,47,CRANBERRY,CRES
Non Residential,B2W 3G2,15,CHRISTOPHER,AVE
Non Residential,B3B 0A7,150,GARLAND,AVE
Non Residential,B3E 1C9,56,PONDEROSA,DR
Non Residential,B3J 1Z1,1326,BARRINGTON,ST
Non Residential,B3H 0A1,730,MARGINAL,RD
Non Residential,B4A 0H4,620,NINE MILE,DR
Non Residential,B3H 1Y7,5982,SPRING GARDEN,RD
Non Residential,B3K 4C7,2797,AGRICOLA,ST
Non Residential,B3A 1M6,172,WYSE,RD
Non Residential,B2Y 2R7,73,KING,ST
Non Residential,B3Z 3S2,120,PEGGYS POINT,RD
Non Residential,B3L 4H7,3450,JOSEPH HOWE,DR
Non Residential,B4A 4E9,36,BROOKSHIRE,CRT
Non Residential,B3H 3P7,1252,LEMARCHANT,ST
Non Residential,B3B 0C8,34,LOGIEALMOND,CL
Non Residential,B3K 2A2,6020,YOUNG,ST
Non Residential,B3J 3R4,5657,SPRING GARDEN,RD
Non Residential,B2Y 2W3,18,CANAL,ST
Non Residential,B3K 2R6,6300,LADY HAMMOND,RD
Non Residential,B3Z 1E2,5126,ST MARGARETS BAY,RD
Non Residential,B4E 1G7,65,BEAVER BANK,RD
Non Residential,B4C 2N2,64,COBEQUID,RD
Non Residential,B3H 2R1,1070,BARRINGTON,ST
Non Residential,B4C 2R8,518,SACKVILLE,DR
Non Residential,B3L 1A4,6243,QUINPOOL,RD
Non Residential,B3S 0G1,103,CHAIN LAKE,DR
Non Residential,B3P 1M3,299,HERRING COVE,RD
Non Residential,B3G 1M9,1046,MAIN,RD
Non Residential,B3K 1Z8,5730,YOUNG,ST
Non Residential,B2T 1J5,82,RAYS,LANE
Non Residential,B2W 2M8,670,PORTLAND,ST
Non Residential,B3Z 2R6,12286,PEGGYS COVE,RD
Non Residential,B3J 2B3,1574,ARGYLE,ST
Non Residential,B4A 1C8,1288,BEDFORD,HWY
Non Residential,B3B 1T6,51,RADDALL,AVE
Non Residential,B3S 0E4,117,HOBSONS LAKE,DR
Non Residential,B3H 2R9,1094,QUEEN,ST
Non Residential,B0J 3A0,40,TRACKER,RD
Non Residential,B3B 1L7,1000,WINDMILL,RD
Non Residential,B3L 1A4,6265,QUINPOOL,RD
Non Residential,B4C 2J6,220,OLD SACKVILLE,RD
Non Residential,B3K 2A8,5508,HENNESSEY,PL
Non Residential,B3K 4C7,2623,AGRICOLA,ST
Non Residential,B2Y 1J8,255,PORTLAND,ST
Non Residential,B2W 1L3,3,BRUCE,ST
Non Residential,B3M 3A4,29,CASTLE HILL,DR
Non Residential,B3G 1H4,2019,SHORE,RD
Non Residential,B2Y 1J2,163,PORTLAND,ST
Non Residential,B3K 3B4,2174,GOTTINGEN,ST
Non Residential,B2V 1E6,958,COLE HARBOUR,RD
Non Residential,B3T 1P2,14,EVERGREEN,PL
Non Residential,B3K 4S7,3555,ROBIE,ST
Non Residential,B4A 1B5,1067,BEDFORD,HWY
Non Residential,B3Z 3Z9,4,FRENCH VILLAGE STATION,RD
Non Residential,B0J 2L0,78,CLAMSHELL,RD
Non Residential,B3J 1Z7,1571,BARRINGTON,ST
Non Residential,B3Z 1E2,5130,ST MARGARETS BAY,RD
Non Residential,B3M 0G2,55,PEAKVIEW,WAY
Non Residential,B0J 3A0,94,FIRE HALL,RD
Non Residential,B4A 3P1,936,BEDFORD,HWY
Non Residential,B3K 4T8,2678,KING,ST
Non Residential,B3B 1C9,19,FIELDING,AVE
Non Residential,B3B 1N1,32,AKERLEY,BLVD
Non Residential,B3A 1L8,12,ROSEDALE,DR
Non Residential,B2X 1T8,26,LAKECREST,DR
Non Residential,B3B 1H7,8,RALSTON,AVE
Non Residential,B3L 4E4,2668,JOSEPH HOWE,DR
Non Residential,B3B 1Z1,86,TROOP,AVE
Non Residential,B3H 4K4,1341,SUMMER,ST
Non Residential,B3K 5T7,3447,KEMPT,RD
Non Residential,B3A 1M7,175,WYSE,RD
Non Residential,B3J 1W1,1709,HOLLIS,ST
Non Residential,B4E 3B5,1951,SACKVILLE,DR
Non Residential,B0P 1E0,175,JETTY,RD
Non Residential,B3H 2P6,1161,HOLLIS,ST
Non Residential,B3L 1K6,6145,CHEBUCTO,RD
Non Residential,B2T 1G7,257,WINDSOR JUNCTION,RD
Non Residential,B2Y 4B1,543,PORTLAND,ST
Non Residential,B3L 4H7,3600,JOSEPH HOWE,DR
Non Residential,B3P 1L5,231,HERRING COVE,RD
Non Residential,B3K 5Z7,2131,GOTTINGEN,ST
Non Residential,B3V 1J6,225,KETCH HARBOUR,RD
Non Residential,B3S 0H6,90,LOVETT LAKE,CRT
Non Residential,B3L 1A8,6430,QUINPOOL,RD
Non Residential,B3K 2S3,6390,LADY HAMMOND,RD
Non Residential,B3B 1Z2,150,THORNE,AVE
Non Residential,B4C 3E4,72,FIRST LAKE,DR
Non Residential,B4A 0C2,85,DAMASCUS,RD
Non Residential,B3N 2L5,2,RUFUS,AVE
Non Residential,B3L 2A4,6459,YOUNG,ST
Non Residential,B3Z 2J1,5288,ST MARGARETS BAY,RD
Non Residential,B2Y 1H1,57,PORTLAND,ST
Non Residential,B3J 1J7,5224,BLOWERS,ST
Non Residential,B3T 2E5,35,BEECH TREE,RUN
Non Residential,B2Y 3R5,205,PLEASANT,ST
Non Residential,B3K 3B1,2015,GOTTINGEN,ST
Non Residential,B4G 1A9,998,BEAVER BANK,RD
Non Residential,B3A 1M3,118,WYSE,RD
Non Residential,B4E 1S4,1056,SACKVILLE,DR
Non Residential,B2X 2T3,166,BRAEMAR,DR
Non Residential,B2T 1A2,397,KINGS,RD
Non Residential,B3B 1B3,552,WINDMILL,RD
Non Residential,B3R 1W4,386,HERRING COVE,RD
Non Residential,B4E 1S1,833,SACKVILLE,DR
Non Residential,B3J 3K8,1809,BARRINGTON,ST
Non Residential,B4E 1V4,101,OLD BEAVER BANK,RD
Non Residential,B3L 1A8,6424,QUINPOOL,RD
Non Residential,B2W 1L4,14,BRUCE,ST
Non Residential,B3K 4L3,2705,FERN,LANE
Non Residential,B3Z 0G5,129,WYNDHAM,DR
Non Residential,B3A 4G2,136,PINECREST,DR
Non Residential,B2Y 1G1,52,QUEEN,ST
Non Residential,B4A 4B5,950,BEDFORD,HWY
Non Residential,B3Z 4H3,5236,ST MARGARETS BAY,RD
Non Residential,B3L 0B7,6940,MUMFORD,RD
Non Residential,B2V 2T1,15,BISSETT,RD
Non Residential,B3Z 2Z2,11452,PEGGYS COVE,RD
Non Residential,B3N 1J9,300,ST MARGARETS BAY,RD
Non Residential,B3B 2C6,237,BROWNLOW,AVE
Non Residential,B2T 1E5,1397,FALL RIVER,RD
Non Residential,B2Y 2K2,274,PRINCE ARTHUR,AVE
Non Residential,B3B 1B8,640,WINDMILL,RD
Non Residential,B2V 1E8,971,COLE HARBOUR,RD
Non Residential,B3T 1S1,2043,PROSPECT,RD
Non Residential,B2W 4N5,95,CIRCASSION,DR
Non Residential,B3B 1T1,131,ILSLEY,AVE
Non Residential,B3H 4P1,1075,BARRINGTON,ST
Non Residential,B3T 1V3,2604,PROSPECT,RD
Non Residential,B3K 1V9,5538,MACARA,ST
Non Residential,B2Y 2N2,17,ALDERNEY,DR
Non Residential,B2W 6A1,47,PORTLAND ESTATES BLVD,WEST
Non Residential,B3V 1A4,48,Non Residential,DR
Non Residential,B3A 1H8,337,WINDMILL,RD
Non Residential,B4E 3C1,238,PATTON,RD
Non Residential,B2V 1E7,1112,COLE HARBOUR,RD
Non Residential,B2Y 1H8,106,PORTLAND,ST
Non Residential,B3A 1W5,225,VICTORIA,RD
Non Residential,B3K 1C3,5531,CUNARD,ST
Non Residential,B3J 3T2,5475,SPRING GARDEN,RD
Non Residential,B3M 4N9,117,KEARNEY LAKE,RD
Non Residential,B3V 1E4,2699,OLD SAMBRO,RD
Non Residential,B0J 1N0,5,COLFORD,DR
Non Residential,B3Z 4K2,399,WESTWOOD,BLVD
Non Residential,B3K 2H6,6077,COLUMBUS,ST
Non Residential,B4A 1E2,1394,BEDFORD,HWY
Non Residential,B2R 1Y3,1700,WAVERLEY,RD
Non Residential,B3B 0C8,22,LOGIEALMOND,CL
Non Residential,B2Y 1J5,181,PORTLAND,ST
Non Residential,B3S 1C1,187,CHAIN LAKE,DR
Non Residential,B3S 1C9,215,CHAIN LAKE,DR
Non Residential,B3K 1N2,5576,NORTH,ST
Non Residential,B0N 2M0,1020,ST MARYS,RD
Non Residential,B2V 2J5,920,COLE HARBOUR,RD
Non Residential,B3H 4P6,701,MARGINAL,RD
Non Residential,B3A 4Y8,41,MICMAC,BLVD
Non Residential,B3L 1A3,6270,QUINPOOL,RD
Non Residential,B2Y 3S3,286,PLEASANT,ST
Non Residential,B3K 4N8,2662,ROBIE,ST
Non Residential,B4E 1K1,289,BEAVER BANK,RD
Non Residential,B3J 1E2,5506,CLYDE,ST
Non Residential,B3B 1L3,106,ILSLEY,AVE
Non Residential,B4E 3A9,161,LIVELY,RD
Non Residential,B3Z 1C1,3899,ST MARGARETS BAY,RD
Non Residential,B3H 4K8,1472,CATHEDRAL,LANE
Non Residential,B3B 0B7,100,GALE,TERR
Non Residential,B3B 1R7,95,AKERLEY,BLVD
Non Residential,B2W 6A3,650,PORTLAND,ST
Non Residential,B4B 1N8,711,POCKWOCK,RD
Non Residential,B3K 3B1,2037,GOTTINGEN,ST
Non Residential,B3H 3Y8,1480,OXFORD,ST
Non Residential,B3Z 1E2,5104,ST MARGARETS BAY,RD
Non Residential,B4A 2W2,160,OAKMOUNT,DR
Non Residential,B3H 2P6,1181,HOLLIS,ST
Non Residential,B4B 0S9,1181,LARRY UTECK,BLVD
Non Residential,B2W 4L2,475,POPLAR,DR
Non Residential,B2Y 2W1,5,CANAL,ST
Non Residential,B3K 1Z7,5521,YOUNG,ST
Non Residential,B2Y 1H9,149,PORTLAND,ST
Non Residential,B3P 2J8,30,RIDGE VALLEY,RD
Non Residential,B3K 3E8,3530,NOVALEA,DR
Non Residential,B3B 0C2,20,HECTOR,GATE
Non Residential,B3J 1W4,1820,HOLLIS,ST
Non Residential,B3V 1A3,806,OLD SAMBRO,RD
Non Residential,B3E 1H4,1,THIS,ST
Non Residential,B4C 2S3,578,SACKVILLE,DR
Non Residential,B3K 4C2,2454,AGRICOLA,ST
Non Residential,B3H 3A6,1747,SUMMER,ST
Non Residential,B3B 1S1,30,THORNHILL,DR
Non Residential,B3T 1Z6,31,PINEDALE,DR
Non Residential,B3V 1A4,31,WEAVERS LAKE,DR
Non Residential,B3B 0E6,150,HECTOR,GATE
Non Residential,B3J 1T6,1274,HOLLIS,ST
Non Residential,B3H 1Y1,5880,SPRING GARDEN,RD
Non Residential,B3B 1J7,41,AKERLEY,BLVD
Non Residential,B3B 1Z5,160,AKERLEY,BLVD
Non Residential,B3H 2B7,6141,WATT,ST
Non Residential,B3N 2S9,3581,DUTCH VILLAGE,RD
Non Residential,B4B 1P6,1378,HAMMONDS PLAINS,RD
Non Residential,B3B 1L2,100,WRIGHT,AVE
Non Residential,B2W 3E5,60,TACOMA,DR
Non Residential,B3J 1Y5,1284,BARRINGTON,ST
Non Residential,B0J 3B0,479,CHURCH POINT,RD
Non Residential,B4C 3P2,11,GLENDALE,AVE
Non Residential,B3L 1A1,6024,QUINPOOL,RD
Non Residential,B0J 2J0,3630,MOOSELAND,RD
Non Residential,B3J 1X7,1810,GRANVILLE,ST
Non Residential,B3L 2T4,2590,OXFORD,ST
Non Residential,B3K 5X8,3785,NORTH MARGINAL,RD
Non Residential,B3Z 1H3,2,WESTWOOD,BLVD
Non Residential,B3B 2C4,130,EILEEN STUBBS,AVE
Non Residential,B3J 3S8,1215,LOWER WATER,ST
Non Residential,B0J 1Y0,3651,CLAM HARBOUR,RD
Non Residential,B4C 2R8,460,SACKVILLE,DR
Non Residential,B3L 1A6,6371,QUINPOOL,RD
Non Residential,B4A 2W4,1,MANN,ST
Non Residential,B3L 4G5,2669,JOSEPH HOWE,DR
Non Residential,B2T 1B9,1638,OLDHAM,RD
Non Residential,B3K 4X1,3200,KEMPT,RD
Non Residential,B3S 1C9,209,CHAIN LAKE,DR
Non Residential,B0J 3H0,23,LONG,RD
Non Residential,B3J 2L1,1477,SOUTH PARK,ST
Non Residential,B4A 1C1,1160,BEDFORD,HWY
Non Residential,B4C 2R5,281,SACKVILLE,DR
Non Residential,B3K 4C1,2445,AGRICOLA,ST
Non Residential,B0J 2K0,53,MILTS,RD
Non Residential,B3B 1E3,43,FIELDING,AVE
Non Residential,B3L 1A6,6389,QUINPOOL,RD
Non Residential,B4E 3L6,335,RIVENDALE,DR
Non Residential,B2Y 4B1,551,PORTLAND,ST
Non Residential,B4E 3A9,40,HAMILTON,DR
Non Residential,B2W 4R6,170,ARKLOW,DR
Non Residential,B0J 2L0,108,HARBOUR RIDGE,DR
Non Residential,B3J 4A9,1871,ALBEMARLE,ST
Non Residential,B3Z 1C9,4843,ST MARGARETS BAY,RD
Non Residential,B3J 2B3,1560,ARGYLE,ST
Non Residential,B3B 1N7,119,SIMMONDS,DR
Non Residential,B4A 1A1,771,BEDFORD,HWY
Non Residential,B3R 1N4,108,LEIBLIN,DR
Non Residential,B3B 1Z6,20,PAYZANT,AVE
Non Residential,B2X 1R9,144,MAIN,ST
Non Residential,B4E 3A9,15,WOODYS,LANE
Non Residential,B3K 5E4,2778,WINDSOR,ST
Non Residential,B3P 0B7,15,RAVENSCRAIG,DR
Non Residential,B2Y 1M1,77,PRINCE ALBERT,RD
Non Residential,B3J 1G9,5675,SPRING GARDEN,RD
Non Residential,B3K 1C7,5685,CUNARD,ST
Non Residential,B3B 1Y2,238,BROWNLOW,AVE
Non Residential,B2Y 4B1,547,PORTLAND,ST
Non Residential,B3H 3B7,1494,CARLTON,ST
Non Residential,B3A 1H9,336,WINDMILL,RD
Non Residential,B3J 3K3,1526,DRESDEN,ROW
Non Residential,B3J 2G2,1536,BRUNSWICK,ST
Non Residential,B3A 2K9,42,LEAMAN,DR
Non Residential,B2W 6B7,590,PORTLAND,ST
Non Residential,B3J 3R1,1819,GRANVILLE,ST
Non Residential,B2T 1J1,1470,FALL RIVER,RD
Non Residential,B3B 1W5,48,TRIDER,CRES
Non Residential,B4A 1E6,1550,BEDFORD,HWY
Non Residential,B3H 2J1,6350,CORNWALL,ST
Non Residential,B2Y 4N2,40,ATLANTIC,ST
Non Residential,B0N 1X0,105,ELM,DR
Non Residential,B3B 0C3,107,SHUBIE,DR
Non Residential,B3J 3M8,1701,HOLLIS,ST
Non Residential,B3H 1Y6,5991,SPRING GARDEN,RD
Non Residential,B4C 2N1,89,COBEQUID,RD
Non Residential,B2W 3E5,88,TACOMA,DR
Non Residential,B3S 1C5,212,CHAIN LAKE,DR
Non Residential,B3K 3Y5,3258,ISLEVILLE,ST
Non Residential,B2V 1M9,1207,COLE HARBOUR,RD
Non Residential,B0J 2K0,59,MILTS,RD
Non Residential,B4A 0H2,27,DELLRIDGE,LANE
Non Residential,B2X 1S1,171,MAIN,ST
Non Residential,B3Z 4R6,6,SONNYS,RD
Non Residential,B3K 1N5,5693,NORTH,ST
Non Residential,B3Z 1L8,4566,PROSPECT,RD
Non Residential,B4C 2S3,602,SACKVILLE,DR
Non Residential,B3V 1R9,26,SOUWESTER,LANE
Non Residential,B3A 1M2,110,WYSE,RD
Non Residential,B2Y 1H9,135,PORTLAND,ST
Non Residential,B3S 1C5,194,CHAIN LAKE,DR
Non Residential,B2Z 1A1,64,JOHNSON,RD
Non Residential,B4A 1B4,1040,BEDFORD,HWY
Non Residential,B3M 4K3,271,LACEWOOD,DR
Non Residential,B2Y 4P4,67,ATLANTIC,ST
Non Residential,B3S 1C7,120,SUSIE LAKE,CRES
Non Residential,B2W 2M3,638,PORTLAND,ST
Non Residential,B3R 1W2,374,HERRING COVE,RD
Non Residential,B3A 1G9,293,WINDMILL,RD
Non Residential,B3Z 2H8,5681,ST MARGARETS BAY,RD
Non Residential,B2Y 3W1,4,GASTON,RD
Non Residential,B3J 3R5,1498,LOWER WATER,ST
Non Residential,B3L 1A3,6206,QUINPOOL,RD
